id,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,host_response_time,host_response_rate,host_is_superhost,number_of_reviews,review_scores_rating,neighbourhood_group_cleansed,longitude,latitude,property_type,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,geometry
89102,4,1.0,1,114,40,0,15,2,4.215948999,85.62510129,t,0.0,100.0,0,57,96.0,Pankow,13.4099496,52.54052906,0,1,Real Bed,10,1,f,POINT (13.40994959783989 52.54052905754406)
91290,3,1.0,1,60,20,0,0,1,2.056620341,10.0,t,2.0,100.0,1,44,99.0,Neukölln,13.42619064,52.49003806,0,1,Real Bed,2,1,f,POINT (13.42619064120055 52.49003805503347)
106290,3,1.0,1,50,45,125,30,2,1.966126756,72.61759719,t,NaN,NaN,1,154,89.0,Friedrichshain-Kreuzberg,13.43176773,52.49727118,0,1,Real Bed,1,1,f,POINT (13.4317677280918 52.49727117967017)
106331,4,1.0,1,82,50,0,5,2,4.082946713,55.0,t,1.0,100.0,1,91,95.0,Pankow,13.43669904,52.53370315,0,1,Real Bed,60,1,f,POINT (13.43669904018567 52.53370314819088)
107968,2,1.0,1,80,35,300,25,1,4.171020253,76.27598595,t,1.0,88.0,1,59,99.0,Tempelhof - Schöneberg,13.3429405,52.49854777,0,1,Real Bed,3,1,f,POINT (13.3429405032624 52.49854776932378)
109658,2,1.0,1,60,25,0,0,2,4.026832686,55.33754215,t,NaN,NaN,1,68,96.0,Friedrichshain-Kreuzberg,13.45206718,52.52426457,1,1,Real Bed,3,1,f,POINT (13.45206717788174 52.5242645702381)
111579,2,1.0,1,70,30,0,15,1,2.739879922,40.0,t,0.0,100.0,1,114,91.0,Mitte,13.40952821,52.52720112,0,1,Real Bed,4,1,f,POINT (13.4095282119564 52.52720111795706)
114763,6,1.0,3,130,50,0,0,1,3.816197659,150.0,t,NaN,NaN,1,53,99.0,Tempelhof - Schöneberg,13.35325038,52.48805003,0,1,Real Bed,3,1,f,POINT (13.35325037971068 52.48805003364804)
115576,4,1.0,2,69,45,0,15,2,8.764210301,70.19252055,t,2.0,88.0,1,3,100.0,Pankow,13.39785818,52.58150269,3,1,Real Bed,2,1,f,POINT (13.3978581755756 52.58150268997834)
116832,2,1.0,2,75,20,250,0,1,1.422214555,61.78880322,t,NaN,NaN,1,3,100.0,Friedrichshain-Kreuzberg,13.39619443,52.4909442,0,1,Real Bed,14,1,f,POINT (13.39619442969515 52.49094420157708)
117649,4,1.0,1,68,25,0,20,2,2.622514277,36.0,t,NaN,NaN,1,84,94.0,Friedrichshain-Kreuzberg,13.44264896,52.50004366,0,1,Real Bed,60,0,f,POINT (13.44264896346838 52.50004365663805)
121888,4,1.0,1,125,40,0,10,2,4.396140721,21.0,t,NaN,NaN,1,5,95.0,Friedrichshain-Kreuzberg,13.4639958,52.5181772,0,1,Real Bed,7,1,f,POINT (13.46399579638591 52.51817719732986)
125349,4,1.0,1,70,25,0,0,1,16.67604572,30.0,t,0.0,100.0,1,26,97.0,Treptow - Köpenick,13.63528316,52.4510523,9,1,Real Bed,2,1,f,POINT (13.63528316493706 52.45105230030461)
127708,2,1.0,1,89,40,0,15,2,1.931962951,35.0,t,NaN,NaN,0,443,96.0,Mitte,13.41098973,52.5196488,0,1,Real Bed,2,1,f,POINT (13.41098972518097 52.51964880397617)
128827,3,1.0,1,59,30,0,20,2,3.930988244,15.0,t,NaN,NaN,1,16,98.0,Friedrichshain-Kreuzberg,13.46119273,52.50948322,0,1,Real Bed,2,1,f,POINT (13.46119273281486 52.50948321684439)
135097,6,1.0,3,96,88,0,9,3,3.880710753,80.0,t,0.0,100.0,1,148,85.0,Tempelhof - Schöneberg,13.34691848,52.50089197,0,1,Real Bed,1,0,f,POINT (13.34691847873334 52.50089197267288)
